name,asn,peeringdb,manrs,noc,rpki,IRR,traffic_ratio,traffic_volume,pni_volume,routing_practice,no_customer,no_customer_of_customer,min_transit_customer_req,consistent_routes,paid_peering,info_type,policy_general,fac_count,info_ratio,policy_ratio,info_scope,ix_count,never_via_rs,info_traffic,policy_contracts,info_prefixes6,info_prefixes4
Roman Sartov AS207301,AS207301,0,0,0,0,1,1.0,,,,0,0,-,0,0,Network Services,open,0,Mostly Inbound,0,Europe,5,0,3,not-required,18,1
HashTable AS36262,AS36262,1,0,1,0,0,1.0,,,,0,0,-,0,0,Network Services,open,0,,0,North America,0,0,3,required,1,1
Alioth Systems AS212068,AS212068,1,0,1,0,1,1.0,,,,0,0,-,0,0,Educational/Research,open,1,Balanced,0,Europe,3,0,1,not-required,30,15
Linkt AS44407,AS44407,0,0,1,0,1,1.0,,,,0,0,-,0,0,Network Services,open,14,Mostly Inbound,0,Europe,1,0,7,not-required,20,100
Freifunk Hamburg AS49009,AS49009,1,0,0,0,0,1.0,,,,0,0,-,0,0,Non-Profit,open,4,Balanced,0,Regional,5,0,2,not-required,20,20
Zappie Host AS7719 AS7719,AS7719,0,0,0,0,0,1.0,,,,0,0,-,0,0,Network Services,open,0,Balanced,0,Global,1,0,18,not-required,1000,1000
SIT Internetdiensten B.V. AS61044,AS61044,0,0,1,0,1,1.0,,,,0,0,-,0,0,Content,open,3,Mostly Outbound,0,Europe,1,0,2,not-required,0,7
67 Telecom - AS267276 AS267276,AS267276,1,0,0,0,0,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,selective,0,Mostly Inbound,0,Regional,0,0,7,not-required,1000,2000
Portfast Ltd AS8916,AS8916,1,0,1,0,0,1.0,,,,0,0,-,0,0,Content,open,3,Balanced,0,Europe,0,0,18,not-required,10,25
Edgio - AS55429 - India AS55429,AS55429,0,0,0,0,0,1.0,,,,0,0,-,1,0,Content,selective,5,Mostly Outbound,0,Regional,12,0,12,not-required,100,1000
Arexico AS48700,AS48700,0,0,0,0,0,1.0,,,,0,0,-,0,0,NSP,open,3,Balanced,0,Europe,1,0,3,private-only,100,50
Milehighwalrus Network - West AS13780,AS13780,0,0,0,0,0,1.0,,,,0,0,-,0,0,,open,0,Heavy Outbound,0,North America,1,0,2,not-required,500,100
Global Sarana Elektronika AS147131,AS147131,1,0,1,0,1,1.0,,,,0,0,-,0,0,NSP,open,2,Mostly Inbound,0,Asia Pacific,6,0,6,not-required,64,500
Visa Consolidated Support Services India AS135858,AS135858,1,0,1,0,1,1.0,,,,0,0,-,1,0,Enterprise,selective,2,Balanced,0,Regional,1,0,1,private-only,0,20
Michael Newcomb AS197841,AS197841,1,0,1,0,0,1.0,,,,0,0,-,0,0,Educational/Research,open,1,Mostly Outbound,0,,0,0,18,not-required,20,4
REDESUL TELECOM AS61688,AS61688,1,0,1,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,1,Mostly Inbound,0,Regional,1,0,3,not-required,50000,1024
Noah van der Aa AS197919,AS197919,1,0,0,1,0,1.0,,,,0,0,-,0,0,Educational/Research,open,0,Mostly Inbound,0,Europe,2,0,18,not-required,32,0
CIPTA TRIMETIKA AS139405,AS139405,1,0,1,0,1,,,,,0,0,-,0,0,Cable/DSL/ISP,open,6,Mostly Inbound,1,Asia Pacific,2,0,3,not-required,16,24
Computacenter (UK) AS56474,AS56474,1,0,0,0,1,1.0,,,,0,0,-,0,0,Enterprise,selective,0,Balanced,0,Europe,1,0,3,not-required,0,30
Panascais AS211757,AS211757,1,0,1,1,0,1.0,,1.0,,0,0,-,0,0,Content,restrictive,9,Balanced,0,Global,0,0,10,not-required,5120,2048
backbone.direct AS50917,AS50917,0,0,0,0,0,1.0,,,,0,0,-,0,0,Network Services,open,3,Balanced,0,Europe,6,0,4,not-required,1500,100
ioHarbor AS951,AS951,0,0,0,0,0,1.0,,,,0,0,-,0,0,NSP,open,1,Balanced,0,North America,1,0,5,not-required,100,20
FSlab AS203577,AS203577,1,0,0,0,0,1.0,,,,0,0,-,0,0,Educational/Research,open,1,Mostly Outbound,0,Global,1,0,2,not-required,64,0
Ora Servicos de Telecomunicacoes Ltda AS264294,AS264294,1,0,0,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,selective,0,Heavy Inbound,0,South America,4,0,6,private-only,2,4
Webfoco Telecom AS52720,AS52720,0,0,1,0,1,1.0,,,,0,0,-,0,0,NSP,selective,2,Balanced,0,South America,5,0,8,not-required,200,1000
GLOBAL BANDA LARGA SERVICOS DE TELECOMUNICACOES AS267522,AS267522,1,0,0,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,7,Mostly Inbound,0,Regional,1,0,7,not-required,1,1022
MELSA AS9657,AS9657,1,0,1,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,3,Mostly Inbound,0,Asia Pacific,3,0,5,not-required,1000,50
"Wuhan LSHIY Network Technology Co., Ltd. AS24144",AS24144,1,0,1,0,1,1.0,,,,0,0,-,0,0,Content,open,1,Mostly Outbound,0,Regional,0,0,3,not-required,100,100
Open Peering AS20562,AS20562,1,0,1,0,1,1.0,,,,0,0,-,1,0,NSP,open,6,Balanced,0,Europe,20,0,9,not-required,1000,10000
Sargasso Networks Ltd. (UK) AS42579,AS42579,1,0,1,0,1,0.5,,0.05,,0,0,-,0,0,NSP,open,4,Balanced,0,Global,2,0,18,not-required,10,50
Riot Games AS6507,AS6507,1,0,0,0,0,1.0,,,,0,0,-,0,0,Content,selective,44,Mostly Outbound,0,Regional,98,0,11,not-required,10,50
xTom Australia Legacy AS23858,AS23858,1,0,1,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,3,Balanced,0,Asia Pacific,0,0,5,not-required,1000,1000
BUSAJM MARIANA (RACK DIGITAL) AS267679,AS267679,1,0,1,0,0,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,1,Balanced,0,South America,0,0,4,not-required,6000,1022
10VPN Research Network AS49134,AS49134,0,0,1,1,1,1.0,,,,0,0,-,0,0,Educational/Research,open,3,Balanced,0,Global,17,0,2,not-required,200,100
TAMUKAI NETWORK R AS199108,AS199108,1,0,0,0,1,1.0,,,,0,0,-,0,0,Educational/Research,open,1,,0,Asia Pacific,1,0,2,not-required,17,0
rack.black AS34182,AS34182,1,0,0,0,1,1.0,,,,0,0,-,0,0,Non-Profit,open,2,Balanced,0,Regional,1,0,1,not-required,42,42
Microsoft AS8075,AS8075,0,0,0,0,0,1.0,,,,0,0,-,0,0,Content,selective,153,Mostly Outbound,0,Global,194,1,18,not-required,500,2000
BittenBytes AS213052,AS213052,1,0,0,0,0,1.0,,,,0,0,-,0,0,Educational/Research,open,1,,0,Regional,5,0,2,not-required,10,5
Yixi Meta AS202338,AS202338,1,0,1,0,0,1.0,,,,0,0,-,0,0,,open,0,Balanced,0,Europe,0,0,18,not-required,1000,10
"Oneiric Systems, LLC AS53948",AS53948,0,0,1,0,0,1.0,,,,0,0,-,0,0,NSP,open,3,Balanced,0,North America,0,0,18,not-required,0,8
DpkgSoft International Limited AS215590,AS215590,1,0,1,1,1,1.0,,,,0,0,-,0,0,Enterprise,restrictive,0,,0,Europe,0,0,18,required,4,7
Dedi Susanto AS215674,AS215674,1,0,0,0,0,1.0,,,,0,0,-,0,0,Educational/Research,open,1,Heavy Outbound,0,Global,2,0,2,not-required,48,0
Jinom Network Indonesia AS138064,AS138064,1,0,1,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,5,Balanced,0,Asia Pacific,9,0,5,not-required,512,256
Spadhausen AS62166,AS62166,1,1,1,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,selective,3,Heavy Inbound,0,Regional,3,0,5,not-required,10,30
Globo Comunicação e Participações S.A. AS28604,AS28604,1,0,0,0,0,1.0,,,,0,0,-,0,0,Content,open,6,Heavy Outbound,0,South America,21,0,12,private-only,5,40
MCT Japan AS45687,AS45687,0,0,0,0,0,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,0,Mostly Inbound,0,Asia Pacific,2,0,4,required,1,10
SteveYi AS60614,AS60614,0,0,0,0,0,1.0,,,,0,0,-,0,0,Network Services,open,1,,0,,1,0,18,not-required,100,50
tbspace AS203478,AS203478,1,0,0,0,1,1.0,,,,0,0,-,0,0,Non-Profit,open,0,Balanced,0,Europe,3,0,0,not-required,10,10
Altopia Corporation AS6456,AS6456,0,0,0,0,1,1.0,,,,0,0,-,0,0,Content,open,1,Balanced,0,Global,2,0,18,not-required,2,6
Gerdriaan Mulder AS206292,AS206292,1,0,0,0,0,1.0,,,,0,0,-,0,0,Educational/Research,open,0,,0,,4,0,0,not-required,30,5
xTom Africa AS328383,AS328383,1,0,1,0,1,1.0,,,,0,0,-,0,0,NSP,open,1,Balanced,0,Africa,0,0,3,not-required,1000,1000
Applied Operations AS40475,AS40475,0,0,1,0,1,1.0,,,,0,0,-,1,0,NSP,open,5,Balanced,0,Regional,1,0,3,not-required,5,100
INFO TELECOM INTERNET LTDA AS265949,AS265949,1,0,1,0,1,1.0,,,,0,0,-,1,0,Cable/DSL/ISP,selective,1,,0,Regional,4,0,5,not-required,1,4
ZetServers AS25198,AS25198,1,0,0,0,0,1.0,1.0,,,0,0,-,0,0,Content,open,35,Mostly Outbound,0,Europe,0,0,13,not-required,500,1000
ISOC Research Network AS141384,AS141384,0,0,0,0,0,1.0,,,,0,0,-,0,0,Non-Profit,open,1,Balanced,0,Global,2,0,1,not-required,3,3
PLUTEX AS49855,AS49855,1,0,1,0,1,1.0,,,,0,0,-,0,0,Content,open,2,Balanced,0,Europe,1,0,5,not-required,50,100
Exascale AS61049,AS61049,0,0,0,0,0,1.0,,,,0,0,-,0,0,NSP,selective,4,Mostly Inbound,0,Europe,4,1,5,private-only,100,200
Fubuki Network AS212425,AS212425,1,0,1,1,1,1.0,,,,0,0,-,0,0,Educational/Research,open,0,Balanced,0,Global,6,0,1,not-required,100,100
Baffin Bay Networks AS42649,AS42649,0,0,0,0,0,1.0,,,,0,0,-,0,0,NSP,selective,12,,0,Global,12,0,18,not-required,50,500
Rede Brasil Networks AS268205,AS268205,1,0,0,0,1,1.0,,,,0,0,-,0,0,NSP,open,1,Heavy Inbound,0,South America,1,0,8,not-required,2,37
LONAP (incl Route Collector) AS8330,AS8330,0,0,0,0,1,1.0,,,,0,0,-,0,0,Route Collector,open,7,Balanced,0,Regional,1,0,11,not-required,2,3
Helix-IX AS211738,AS211738,0,0,0,0,0,,,,,0,0,-,0,0,Route Server,open,20,,1,Global,2,0,4,not-required,2,1
Roxonic Systems AS142289,AS142289,1,1,0,0,1,1.0,,,,0,0,-,0,0,Non-Profit,open,0,Mostly Inbound,0,Asia Pacific,1,0,1,not-required,50,0
Posix Systems AS6083,AS6083,0,0,0,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,3,Balanced,0,Regional,3,0,0,not-required,10,20
XMission AS6315,AS6315,1,0,0,0,1,1.0,,,,0,0,-,1,0,Cable/DSL/ISP,open,5,Balanced,0,Regional,5,0,7,not-required,15,75
AZISTA GmbH AS20751,AS20751,0,0,0,0,0,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,1,Balanced,0,Europe,1,0,4,not-required,2,35
Apple CDN AS6185,AS6185,1,0,1,0,1,1.0,,,,0,0,-,0,0,Content,selective,0,,0,Global,0,0,18,not-required,1000,10000
Cloudie Networks AS924,AS924,1,0,1,0,1,1.0,,,,0,0,-,0,0,Network Services,open,7,Balanced,0,Global,10,0,4,not-required,250,60
ESEVEN DevOps GmbH AS48927,AS48927,0,0,1,0,1,1.0,,,,0,0,-,0,0,Enterprise,open,7,Balanced,0,Europe,5,0,6,not-required,100,500
Edgio - AS60261 - UAE AS60261,AS60261,0,0,0,0,0,1.0,,,,0,0,-,1,0,Content,selective,2,Mostly Outbound,0,Regional,2,0,12,not-required,100,1000
Haruka Network AS197860,AS197860,0,0,0,0,0,1.0,,,,0,0,-,0,0,Enterprise,open,0,Balanced,0,Global,3,0,5,not-required,2000,100
Exodo LLC AS26006,AS26006,1,0,0,0,0,1.0,,,,0,0,-,0,0,Educational/Research,open,1,,0,,4,0,18,not-required,20,10
Stadtwerke Lübeck AS29505,AS29505,1,0,1,1,0,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,2,Mostly Inbound,0,Regional,4,0,5,not-required,10,50
PRISMAREDE Network AS267562,AS267562,1,0,1,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,1,Mostly Inbound,0,Regional,1,0,6,not-required,100,200
Iconic Internet AS46766,AS46766,1,0,1,1,1,1.0,,,,0,0,-,0,0,Educational/Research,open,1,,0,,2,0,18,not-required,40,5
Purevoltage Hosting Inc. AS26548,AS26548,0,0,0,0,0,1.0,,,,0,0,-,0,0,Content,open,15,Balanced,0,Global,2,0,14,not-required,200,2000
Tsung-Yi Yu AS209557 AS209557,AS209557,0,0,0,0,0,1.0,,,,0,0,-,0,0,Educational/Research,open,0,,0,Global,0,0,18,not-required,100,10
SDCC OpenNetwork AS38074,AS38074,0,0,0,0,1,1.0,,,,0,0,-,0,0,Educational/Research,open,1,Balanced,0,Asia Pacific,0,0,6,required,100,10
Guardfox AS25455,AS25455,0,1,0,0,0,,2.0,2.0,,0,0,-,0,0,Enterprise,selective,2,,0,Europe,2,0,18,not-required,4,9
ZH NETWORK AS202888,AS202888,1,0,1,0,0,1.0,,,,0,0,-,0,0,Enterprise,selective,2,Mostly Outbound,0,Global,7,0,3,private-only,10,5
TWDX IP AS27552,AS27552,1,0,1,0,0,1.0,,,,1,0,-,1,0,NSP,selective,9,Balanced,0,Regional,2,0,9,not-required,256,512
DENIC eG AS8763,AS8763,1,0,1,0,1,1.0,,,,0,0,-,0,0,NSP,open,0,Mostly Outbound,0,Regional,2,0,18,not-required,80,40
"Misaka Network, Inc. (CIS) AS57578",AS57578,1,0,0,0,1,1.0,,,,0,0,-,0,0,Content,selective,3,Mostly Outbound,0,Regional,0,0,18,not-required,600,300
NEBEL AS212049,AS212049,1,0,1,1,1,1.0,,,,0,0,-,0,0,Educational/Research,open,2,Balanced,0,Europe,4,0,0,not-required,5000,10000
NATIX AS33175,AS33175,0,0,0,0,0,1.0,,,,0,0,-,0,0,NSP,open,0,,0,North America,0,0,18,not-required,0,0
Poema Network AS203472,AS203472,0,0,0,0,0,1.0,,,,0,0,-,0,0,,open,0,Balanced,0,Global,8,0,2,not-required,200,0
edisonlee55 Network AS212279,AS212279,1,0,1,1,1,1.0,,,,0,0,-,0,0,Content,open,0,,0,Global,0,0,18,not-required,100,100
Triple Zhi Network AS150551,AS150551,1,0,0,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,0,Balanced,0,Asia Pacific,0,0,2,not-required,1,1
Connectium AS211713,AS211713,1,0,0,0,0,1.0,,,,0,0,-,0,0,Content,open,7,Balanced,0,Europe,7,0,3,not-required,10,10
Fantasy Sky Internet eXchange AS139073,AS139073,1,0,0,0,1,1.0,,,,0,0,-,0,0,Educational/Research,open,0,Balanced,0,Global,5,0,18,not-required,200,10
URBAN WAVE INTERNET SOLUTIONS AS328745,AS328745,0,0,0,0,0,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,selective,2,Heavy Inbound,0,Africa,2,0,4,not-required,20,20
Pigeon Telecom AS198304,AS198304,1,0,1,1,1,1.0,,,,0,0,-,0,0,Non-Profit,open,1,Balanced,0,Global,8,0,4,not-required,1000,10
Kinako Network AS198376,AS198376,1,0,1,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,3,Mostly Inbound,0,Asia Pacific,0,0,18,not-required,500,50
Meta AS32934,AS32934,1,0,1,0,0,1.0,,,,0,0,-,0,0,Content,selective,113,Heavy Outbound,0,Global,203,0,17,not-required,100,100
tyntec AS43566,AS43566,1,0,0,0,0,1.0,,,,0,0,-,0,0,Enterprise,open,1,,0,Europe,4,0,4,not-required,0,10
GreenYun AS134575,AS134575,0,0,0,0,0,1.0,,,,0,0,-,0,0,,open,1,,0,,1,0,18,not-required,2,0
Wan4u AS328747,AS328747,1,0,1,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,0,Mostly Inbound,0,Regional,2,0,3,not-required,0,4
Edgio - AS38622 - Australia AS38622,AS38622,0,0,0,0,0,1.0,,,,0,0,-,1,0,Content,selective,1,Mostly Outbound,0,Australia,4,0,12,not-required,300,2500
NAV Communications AS6718,AS6718,0,0,0,0,0,1.0,,,,0,0,-,0,0,NSP,open,2,Balanced,0,Global,2,0,8,not-required,200,2000
Easy Connection Internet AS268637,AS268637,1,0,1,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,0,Balanced,0,Regional,1,0,5,not-required,500,500
Raidio Telefis Eireann AS41073,AS41073,1,0,1,0,1,1.0,,,,0,0,-,0,0,Content,open,3,Heavy Outbound,0,Regional,2,0,9,not-required,10,10
3E TELECOM AS61924,AS61924,1,0,1,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,0,Heavy Inbound,0,Regional,2,0,18,not-required,1,10
Lily Network AS203236,AS203236,1,0,0,0,0,1.0,,,,0,0,-,0,0,Educational/Research,open,0,,0,Global,10,0,3,not-required,50,5
Massar's Network AS57777,AS57777,1,1,0,1,1,1.0,,,,0,0,-,0,0,Educational/Research,open,1,Balanced,0,Europe,3,0,2,not-required,10,10
Cape Connect Internet AS37640,AS37640,0,0,1,0,1,1.0,,,shortest-exit,0,0,-,1,0,Cable/DSL/ISP,open,3,Mostly Outbound,0,Africa,4,0,18,not-required,8,16
Cyber Network Indonesia AS38496,AS38496,0,0,0,0,0,1.0,,,,0,0,-,0,0,NSP,open,8,Mostly Inbound,0,Global,8,0,9,not-required,15000,4000
Lintasdata Network AS139449,AS139449,1,0,0,0,0,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,5,Balanced,0,Asia Pacific,9,0,5,not-required,1000,3000
IVO by D.t.s. S.r.l. AS49605,AS49605,1,0,1,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,selective,3,Mostly Inbound,0,Europe,6,0,5,not-required,50,100
MegaHostZone AS132563,AS132563,1,0,1,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,1,Balanced,0,Asia Pacific,0,1,4,required,1,12
Cloudpath AS33570,AS33570,1,0,1,0,0,1.0,,,,0,0,-,1,0,NSP,open,13,Balanced,0,North America,3,0,3,not-required,16,32
Orange Business Services Southern Europe AS6853,AS6853,1,0,0,0,0,1.0,,,,0,0,-,0,0,NSP,restrictive,0,,0,,3,0,18,not-required,100,400
Tritan Internet LLC AS393577,AS393577,1,0,1,1,1,1.0,,,,0,0,-,0,0,NSP,open,2,Balanced,0,North America,11,0,3,not-required,777,666
X2com BV AS58075,AS58075,1,0,0,1,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,restrictive,3,Mostly Inbound,0,Europe,4,0,5,private-only,3,25
xTom Los Angeles AS949,AS949,1,0,1,0,1,1.0,,,,0,0,-,0,0,Network Services,selective,1,Balanced,0,North America,0,0,7,not-required,1000,1000
BalajiInternet AS133702,AS133702,1,0,0,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,3,Balanced,0,Asia Pacific,0,0,4,not-required,0,8
pob.network AS200219,AS200219,1,0,1,0,1,1.0,,,,0,0,-,0,0,Educational/Research,open,0,Mostly Outbound,0,North America,1,0,1,not-required,8,0
Sona Business AS60022,AS60022,1,0,1,0,1,1.0,0.05,1.0,,0,0,-,0,0,NSP,selective,11,Mostly Outbound,0,Europe,9,0,8,private-only,30,50
TDS Telecom AS4181,AS4181,1,0,1,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,14,Mostly Inbound,0,North America,9,0,12,not-required,250,3000
Frank's Network AS211042,AS211042,1,0,0,0,1,1.0,,,,0,0,-,0,0,Educational/Research,open,0,Balanced,0,,2,0,1,not-required,100,10
OSNET Wireless AS21559,AS21559,1,0,0,0,1,1.0,,,,0,0,-,0,0,NSP,open,8,Mostly Inbound,0,Regional,4,0,9,not-required,200,600
Axera AS13097 AS13097,AS13097,1,1,0,1,1,1.0,,,,0,0,-,1,0,Cable/DSL/ISP,selective,2,Mostly Inbound,0,Regional,2,0,6,not-required,20,100
RHE-NET AS51044,AS51044,1,0,1,1,1,1.0,,,,0,0,-,0,0,Non-Profit,selective,0,Balanced,0,,1,0,0,not-required,20,10
Starry - NY AS27611,AS27611,0,0,0,0,0,1.0,0.1,,,0,0,-,0,0,Cable/DSL/ISP,selective,1,Mostly Inbound,0,North America,1,0,18,not-required,3,15
Caspel AS207251,AS207251,1,0,0,0,1,1.0,,,,0,0,-,0,0,NSP,selective,0,Balanced,0,Regional,0,0,5,not-required,0,0
CacheFly AS30081,AS30081,1,0,0,0,0,1.0,,,,0,0,-,0,0,Content,open,66,Heavy Outbound,0,Global,49,0,15,not-required,500,500
Route56 Perjuangan AS216412,AS216412,1,0,0,1,1,1.0,,,,0,0,-,0,0,Educational/Research,open,0,Mostly Inbound,0,Global,0,0,1,not-required,5,0
Fusion Voice and Data AS393731,AS393731,1,0,0,0,0,1.0,,,,0,0,-,1,0,Cable/DSL/ISP,open,2,,0,,2,1,18,not-required,100,100
C. H. PADILHA EIRELI AS270679,AS270679,1,0,1,0,1,1.0,,,,0,0,-,0,0,NSP,open,0,Mostly Inbound,0,Regional,1,0,6,not-required,1000,200
